battery_rho,best_loss,grad_norm,iteration,loss,motor_kt,wheel_radius
1.10670006275177,69.4780044555664,18.620866775512695,35,69.4780044555664,1.0322809219360352,0.15000000596046448
1.1054342985153198,69.4780044555664,15.053728103637695,36,70.03578186035156,1.0383319854736328,0.15000000596046448
1.1040761470794678,69.4780044555664,16.055252075195312,37,69.96163177490234,1.0444042682647705,0.15000000596046448
1.1024550199508667,69.4780044555664,19.754737854003906,38,69.87176513671875,1.0505813360214233,0.15000000596046448
1.1006250381469727,69.4780044555664,18.017162322998047,39,69.74884796142578,1.0567898750305176,0.15000000596046448
1.0985546112060547,69.4780044555664,19.98238754272461,40,69.67251586914062,1.0630929470062256,0.15000000596046448
1.0963914394378662,69.4780044555664,17.616804122924805,41,69.55023956298828,1.0694477558135986,0.15000000596046448
1.0941827297210693,69.4780044555664,16.064476013183594,42,70.29208374023438,1.0757336616516113,0.15000000596046448
1.0918675661087036,69.4780044555664,18.504121780395508,43,70.20250701904297,1.0820622444152832,0.15000000596046448
1.0893360376358032,69.4780044555664,19.58624267578125,44,70.07211303710938,1.0884168148040771,0.15000000596046448
1.086890697479248,69.4780044555664,14.981558799743652,45,70.56340026855469,1.0946707725524902,0.15000000596046448
1.0842727422714233,69.4780044555664,18.677762985229492,46,70.48230743408203,1.100915789604187,0.15000000596046448
1.0814924240112305,69.4780044555664,19.506179809570312,47,70.28693389892578,1.1072105169296265,0.15000000596046448
1.0784900188446045,69.4780044555664,19.383338928222656,48,70.1529312133789,1.1134886741638184,0.15000000596046448
1.075388789176941,69.4780044555664,19.459497451782227,49,70.69588470458984,1.1198064088821411,0.15000000596046448
1.0721341371536255,69.4780044555664,20.25035858154297,50,70.48920440673828,1.1261762380599976,0.15000000596046448
1.0689984560012817,69.4780044555664,16.4273681640625,51,71.1466064453125,1.1324849128723145,0.15000000596046448
1.065688133239746,69.4780044555664,20.550085067749023,52,70.77520751953125,1.1388354301452637,0.15000000596046448
1.0623708963394165,69.4780044555664,18.0699405670166,53,70.57060241699219,1.1452065706253052,0.15000000596046448
1.0589869022369385,69.4780044555664,19.698497772216797,54,71.29497528076172,1.1515980958938599,0.15000000596046448
1.0553951263427734,69.4780044555664,19.95922088623047,55,70.9698257446289,1.1579335927963257,0.15000000596046448
1.0517926216125488,69.4780044555664,19.064767837524414,56,70.88606262207031,1.1643154621124268,0.15000000596046448
1.048040509223938,69.4780044555664,19.91412353515625,57,71.2511978149414,1.1706647872924805,0.15000000596046448
1.044374704360962,69.4780044555664,16.85110092163086,58,71.92501068115234,1.17692232131958,0.15000000596046448
1.0405486822128296,69.4780044555664,21.652511596679688,59,71.60279846191406,1.183241367340088,0.15000000596046448
1.0368013381958008,69.4780044555664,17.440860748291016,60,71.2728500366211,1.1895549297332764,0.15000000596046448
